layer_index,layer_bucket,delta_type,behavior_delta_name,behavior_transform,hidden_metric,behavior_metric,n_families,pearson_correlation,spearman_correlation,mean_hidden_metric,std_hidden_metric,mean_behavior_metric,std_behavior_metric
0,early,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.31750125524021605,0.3258687258687259,0.09053388372477558,0.01678491361326665,-0.1870659722222222,1.8164337330324936
0,early,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.28652529063783894,0.2749034749034749,0.1052478336625629,0.01789565398138707,0.9730902777777778,1.5761109049593773
0,early,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,0.030787465932018986,0.09137709137709138,0.11721235720647706,0.017752335619260574,1.9487847222222223,2.439759822930535
0,early,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,-0.10027986539522935,-0.07222866510202551,0.1522085921217998,0.019289618869269904,0.7977430555555556,0.5223797932436464
1,early,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.3243618092096847,0.37683397683397685,0.1850724145770073,0.01595039995329041,-0.1870659722222222,1.8164337330324936
1,early,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.18418068533162885,0.19588159588159587,0.18883508733577198,0.01871384774696439,0.9730902777777778,1.5761109049593773
1,early,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,0.07233408862591734,0.0924066924066924,0.31029725405904984,0.02568014390825195,1.9487847222222223,2.439759822930535
1,early,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,0.05027478160999158,0.03257371171267817,0.31359028319517773,0.028888802402472324,0.7977430555555556,0.5223797932436464
2,early,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.08264259323848733,0.09832689832689832,0.3186129348145591,0.023666453050955036,-0.1870659722222222,1.8164337330324936
2,early,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.16211702170241565,0.1626769626769627,0.341678482790788,0.024800466448388476,0.9730902777777778,1.5761109049593773
2,early,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,-0.007455652743806354,0.013384813384813385,0.614442507425944,0.0436017284809419,1.9487847222222223,2.439759822930535
2,early,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,0.10945176919876978,0.10596112545270409,0.49556222640805775,0.04603293465570614,0.7977430555555556,0.5223797932436464
3,early,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,-0.24686709261467346,-0.3148005148005148,0.5744372564885352,0.04897908859353526,-0.1870659722222222,1.8164337330324936
3,early,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,-0.20858224207377288,-0.23886743886743886,0.6004514801833365,0.059278602316372005,0.9730902777777778,1.5761109049593773
3,early,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,-0.29837774466614364,-0.3096525096525097,1.0725183188915253,0.09376368229226427,1.9487847222222223,2.439759822930535
3,early,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,0.04594652857567852,0.09746363544070108,0.6261536214086745,0.06127974324525802,0.7977430555555556,0.5223797932436464
4,early,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,-0.18947546051535688,-0.20051480051480053,0.7563488980134329,0.05208459621468935,-0.1870659722222222,1.8164337330324936
4,early,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,-0.3127533268464695,-0.3366795366795367,0.8120715369780859,0.05550824354584856,0.9730902777777778,1.5761109049593773
4,early,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,-0.30308293226465755,-0.22676962676962678,1.3218888309266832,0.10815296172813199,1.9487847222222223,2.439759822930535
4,early,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,-0.0993595381160995,-0.07197116540469208,0.829340656598409,0.07538736786496733,0.7977430555555556,0.5223797932436464
5,early,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,-0.15280835680007937,-0.18198198198198198,0.9706960684723325,0.06122607662327324,-0.1870659722222222,1.8164337330324936
5,early,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,-0.36421097938746383,-0.3567567567567568,1.124329121576415,0.07388691172141182,0.9730902777777778,1.5761109049593773
5,early,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,-0.3132246520914586,-0.25534105534105533,1.5465815034177568,0.1269824925552358,1.9487847222222223,2.439759822930535
5,early,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,-0.22829040063829575,-0.21462599772740912,1.096683046884007,0.08998348272249666,0.7977430555555556,0.5223797932436464
6,early,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,-0.29141631648026567,-0.3534105534105534,1.3330440123875935,0.08747670160304054,-0.1870659722222222,1.8164337330324936
6,early,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,-0.28727259055566523,-0.20514800514800516,1.6099569234583113,0.10434008737088836,0.9730902777777778,1.5761109049593773
6,early,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,-0.33415450254173823,-0.24453024453024452,1.9820165468586817,0.1533750455543792,1.9487847222222223,2.439759822930535
6,early,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,-0.45335872539793026,-0.4562894636748278,1.4214353760083516,0.09732054932323768,0.7977430555555556,0.5223797932436464
7,early,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,-0.3491465847430101,-0.3474903474903475,1.820854150586658,0.10624643516182956,-0.1870659722222222,1.8164337330324936
7,early,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,-0.3609977121063101,-0.23835263835263834,2.084174374739329,0.12340928301236465,0.9730902777777778,1.5761109049593773
